"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"jhetp";"[342, 0, 0]";"noun";"[1, 0, 0]";"True";"0,42857142857142855";"0,31709784";"0,3987471";"0,5016583";"0,31475398";"0,053232003";"0";"1";"1";"0";"1";"1";"1";"1"
"physical cueing";"[60, 291, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8685779";"0,5988208";"0,95686084";"0,9271631";"0,99146676";"1";"1";"1";"0";"1";"1";"1";"1"
"skilled nursing facility";"[160, 578, 579]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8852071";"0,9600256";"0,9755174";"0,72224593";"0,88303953";"1";"1";"1";"1";"1";"1";"1";"1"
"limited motor skill";"[683, 4, 5]";"verb noun noun";"[4, 1, 1]";"True";"0,7142857142857143";"0,6281923";"0,39875242";"0,53995496";"0,67537";"0,89869195";"0";"1";"1";"0";"1";"1";"1";"1"
"explicit process";"[127, 22, 0]";"adj noun";"[2, 1, 0]";"True";"0,5714285714285714";"0,5733101";"0,39304134";"0,5703205";"0,4295728";"0,90030557";"1";"1";"1";"0";"1";"1";"1";"1"
"expect find";"[751, 752, 0]";"verb verb";"[4, 4, 0]";"False";"0,42857142857142855";"0,5488859";"0,47253585";"0,9111254";"0,45114425";"0,360738";"1";"1";"1";"0";"1";"1";"1";"1"
"strategic training";"[668, 12, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,68062913";"0,39875138";"0,5976605";"0,7507302";"0,9753746";"1";"1";"1";"0";"1";"1";"1";"1"
"neurological condition";"[628, 178, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,73166525";"0,40526852";"0,79881495";"0,8134287";"0,90914905";"1";"1";"1";"0";"1";"1";"1";"1"
"health care profession";"[17, 14, 50]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,9440059";"0,97982913";"0,861213";"0,9411997";"0,9937818";"1";"1";"1";"1";"1";"1";"1";"1"
"mental health service";"[45, 17, 20]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8603815";"0,9643431";"0,53132325";"0,9555907";"0,9902688";"1";"1";"1";"1";"1";"1";"1";"1"
"postprimary school";"[731, 16, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,6425748";"0,39875337";"0,6180931";"0,71768594";"0,8357668";"1";"1";"1";"0";"1";"1";"1";"1"
"pediatric medical resident";"[6, 29, 155]";"adj adj noun";"[2, 2, 1]";"True";"1,0";"0,91595536";"0,9972243";"0,99981856";"0,7802759";"0,88650274";"1";"1";"1";"1";"1";"1";"1";"1"
"clinical competency evaluation";"[10, 78, 79]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,90989125";"0,9743385";"0,7120093";"0,96528995";"0,9879273";"1";"1";"1";"1";"1";"1";"1";"1"
"medical teacher";"[29, 221, 0]";"adj noun";"[2, 1, 0]";"False";"0,7142857142857143";"0,42845148";"0,56910115";"0,8581449";"0,22531027";"0,061249506";"1";"1";"1";"1";"1";"1";"1";"1"
"pediatric resident";"[6, 155, 0]";"adj noun";"[2, 1, 0]";"True";"1,0";"0,7746732";"0,5204536";"0,69614786";"0,90541786";"0,9766736";"1";"1";"1";"1";"1";"1";"1";"1"
"skilled performance";"[160, 25, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,6269542";"0,4012758";"0,58390623";"0,74566835";"0,7769664";"1";"1";"1";"0";"1";"1";"1";"1"
"feeding concern";"[540, 541, 0]";"verb noun";"[4, 1, 0]";"True";"0,42857142857142855";"0,51333344";"0,47272092";"0,84739274";"0,32156613";"0,41165403";"1";"1";"1";"0";"1";"1";"1";"1"
"prisma extension";"[770, 771, 0]";"noun noun";"[1, 1, 0]";"True";"0,42857142857142855";"0,505236";"0,4733172";"0,90625864";"0,49625656";"0,14511174";"1";"1";"1";"0";"1";"1";"1";"1"
"purposive sampling";"[462, 108, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,46207866";"0,42358312";"0,75581235";"0,4518314";"0,21708782";"1";"1";"1";"0";"1";"1";"1";"1"
"potential theme";"[77, 183, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8222202";"0,6281396";"0,9384537";"0,774636";"0,9476517";"0";"1";"1";"0";"1";"1";"1";"1"
"peer review process";"[134, 73, 22]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,7938104";"0,81764877";"0,57867914";"0,81540054";"0,9635132";"1";"1";"1";"1";"1";"1";"1";"1"
"outpatient rehabilitation";"[42, 9, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,56682974";"0,45593372";"0,5328174";"0,42919305";"0,84937483";"1";"1";"1";"0";"0";"1";"1";"1"
"average calculation method";"[113, 295, 93]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,47293824";"0,94943446";"0,5752996";"0,23166507";"0,13535385";"1";"1";"1";"1";"1";"1";"1";"1"
"cerebral vascular accident";"[276, 577, 282]";"propn adj noun";"[3, 2, 1]";"True";"0,8571428571428571";"0,58296305";"0,79572135";"0,050607312";"0,5968451";"0,8886785";"1";"1";"1";"1";"1";"1";"1";"1"
"frontline perspective";"[584, 285, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,61706775";"0,5121779";"0,8144919";"0,46408474";"0,67751646";"1";"1";"1";"0";"1";"1";"1";"1"
"sleep issue";"[530, 128, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,54198325";"0,41724575";"0,7824193";"0,4151093";"0,5531585";"1";"1";"1";"0";"1";"1";"1";"1"
"lifespan";"[364, 0, 0]";"propn";"[3, 0, 0]";"True";"0,2857142857142857";"0,31887084";"0,39874905";"0,4937419";"0,3123655";"0,070626855";"1";"1";"1";"0";"1";"1";"1";"1"
"participant satisfaction";"[57, 139, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8567642";"0,6290619";"0,88953865";"0,92812204";"0,98033416";"1";"1";"1";"0";"1";"1";"1";"1"
"intervention issn";"[7, 599, 0]";"noun propn";"[1, 3, 0]";"True";"0,7142857142857143";"0,4861258";"0,526012";"0,88950956";"0,18596748";"0,34301415";"1";"1";"1";"1";"1";"1";"1";"1"
"occupational therapist education";"[3, 11, 8]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8529081";"0,93903893";"0,52639776";"0,95241266";"0,99378306";"1";"1";"1";"1";"1";"1";"1";"1"
"preschooler";"[350, 0, 0]";"verb";"[4, 0, 0]";"True";"0,2857142857142857";"0,35413775";"0,39874682";"0,48950136";"0,38552347";"0,14277935";"1";"1";"1";"0";"1";"1";"1";"1"
"efficient pattern";"[704, 67, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,70209616";"0,4417711";"0,8272543";"0,5814098";"0,9579496";"1";"1";"1";"0";"1";"1";"1";"1"
"practice area";"[2, 290, 0]";"noun noun";"[1, 1, 0]";"True";"1,0";"0,7602085";"0,523941";"0,7247118";"0,8444417";"0,9477396";"1";"1";"1";"1";"1";"1";"1";"1"
"verbal feedback";"[56, 40, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,7141371";"0,42019737";"0,5624609";"0,8951069";"0,97878325";"0";"1";"1";"0";"1";"1";"1";"1"
"occupational therapy service";"[3, 1, 20]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,93046796";"0,9942079";"0,7643971";"0,9690147";"0,99425215";"1";"1";"1";"1";"1";"1";"1";"1"
"electronic link";"[463, 464, 0]";"adj noun";"[2, 1, 0]";"False";"0,42857142857142855";"0,5027644";"0,47387308";"0,80623585";"0,3442421";"0,38670665";"1";"1";"1";"0";"1";"1";"1";"1"
"early occupational therapy";"[55, 3, 1]";"adj adj noun";"[2, 2, 1]";"True";"0,7142857142857143";"0,72555804";"0,45848823";"0,5190048";"0,9282364";"0,9965025";"1";"1";"1";"0";"1";"1";"1";"1"
"troubling issue";"[313, 128, 0]";"adj noun";"[2, 1, 0]";"True";"0,5714285714285714";"0,49646398";"0,49309972";"0,60268104";"0,33292022";"0,557155";"1";"1";"1";"0";"1";"1";"1";"1"
"survey participant rating";"[19, 57, 65]";"verb noun noun";"[4, 1, 1]";"True";"0,8571428571428571";"0,7097275";"0,94640225";"0,6486177";"0,41521534";"0,8286748";"1";"1";"1";"1";"1";"1";"1";"1"
"wilcoxon sign";"[436, 437, 0]";"propn noun";"[3, 1, 0]";"True";"0,42857142857142855";"0,4846542";"0,47365826";"0,7994465";"0,37180036";"0,29371172";"1";"1";"1";"0";"1";"1";"1";"1"
"educational module";"[83, 126, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,63386595";"0,21064475";"0,768183";"0,79787403";"0,7587622";"1";"1";"1";"0";"1";"1";"1";"1"
"dataset";"[467, 0, 0]";"verb";"[4, 0, 0]";"True";"0,2857142857142857";"0,323837";"0,39874947";"0,49082515";"0,33656377";"0,069209725";"1";"1";"1";"0";"1";"1";"1";"1"
"online data collection";"[101, 125, 196]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,539414";"0,09429791";"0,8670088";"0,44459373";"0,75175554";"1";"1";"1";"1";"1";"1";"1";"1"
"traditional clinical setting";"[102, 10, 15]";"adj adj noun";"[2, 2, 1]";"True";"0,8571428571428571";"0,7010188";"0,42326483";"0,51882565";"0,8694103";"0,9925744";"1";"1";"1";"1";"1";"1";"1";"1"
"item response theory";"[37, 54, 18]";"noun noun noun";"[1, 1, 1]";"True";"0,8571428571428571";"0,6788452";"0,60850054";"0,44704643";"0,6922959";"0,96753806";"1";"1";"1";"1";"1";"1";"1";"1"
"adventhealth orlando";"[130, 614, 0]";"propn propn";"[3, 3, 0]";"True";"0,8571428571428571";"0,8008779";"0,6035639";"0,99861073";"0,67013127";"0,93120563";"1";"1";"1";"0";"1";"1";"1";"1"
"sensory integration theory";"[70, 216, 18]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8991561";"0,78963995";"0,91894203";"0,9138524";"0,9741901";"1";"1";"1";"1";"1";"1";"1";"1"
"training scholarship";"[12, 534, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,8168552";"0,52723265";"0,8956658";"0,85145813";"0,99306417";"1";"1";"0";"1";"1";"1";"1";"1"
"intergrade discrimination";"[732, 121, 0]";"adj noun";"[2, 1, 0]";"False";"0,7142857142857143";"0,72642434";"0,48262888";"0,7989766";"0,73258877";"0,891503";"1";"1";"1";"0";"1";"1";"1";"1"
"sensory processing issue";"[70, 321, 128]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,88534415";"0,98059475";"0,74194103";"0,84150916";"0,9773316";"1";"1";"1";"1";"1";"1";"1";"1"
"sbot";"[141, 0, 0]";"propn";"[3, 0, 0]";"True";"0,5714285714285714";"0,6530712";"0,3954759";"0,49042988";"0,79657865";"0,92980045";"1";"1";"1";"0";"1";"1";"1";"1"
